date,state,PRC,AVGT,MAXT,MINT
3-Mar,OH,0.01559322,32.555556,41.2465753,25.1643836
4-Mar,OH,0.00146341,32.666667,43.1351351,24.027027
5-Mar,OH,4.03E-05,32.888889,43.2933333,24.2133333
6-Mar,OH,0.01051181,40.222222,47.4736842,29.0394737
7-Mar,OH,0.03164659,35.555556,47.5316456,29.8076923
3-Mar,CA,0.33577,35.464743,46.935,32.591
4-Mar,CA,0.1335799,35.52293,49.5243,29.249
5-Mar,CA,0.0053125,40.0349,56.1395,29.6924
6-Mar,CA,0.01029,46.6297468,63.049505,35.0753968
7-Mar,CA,0.00612952,49.1139241,63.8078431,39.9823529
